2026-01-17 18:31:29,627 | INFO | livekit.agents | starting worker
2026-01-17 18:31:29,628 | INFO | livekit.agents | HTTP server listening on :8081
2026-01-17 18:31:29,631 | INFO | livekit.agents | initializing job runner
2026-01-17 18:31:29,631 | INFO | livekit.agents | initializing job runner
2026-01-17 18:31:29,631 | INFO | livekit.agents | initializing job runner
2026-01-17 18:31:29,631 | INFO | livekit.agents | initializing job runner
2026-01-17 18:31:29,633 | INFO | livekit.agents | job runner initialized
2026-01-17 18:31:29,633 | INFO | livekit.agents | job runner initialized
2026-01-17 18:31:29,634 | INFO | livekit.agents | job runner initialized
2026-01-17 18:31:29,634 | INFO | livekit.agents | job runner initialized
2026-01-17 18:31:41,137 | INFO | livekit.agents | registered worker
2026-01-17 18:31:41,243 | INFO | livekit.agents | received job request
2026-01-17 18:31:41,451 | INFO | livekit.agents | initializing job runner
2026-01-17 18:31:41,452 | INFO | livekit.agents | job runner initialized
2026-01-17 18:31:51,360 | WARNING | livekit.agents | The room connection was not established within 10 seconds after calling job_entry. This might mean that job_ctx.connect() was never invoked, or that no AgentSession with an active RoomIO has been started.
2026-01-17 18:32:25,472 | INFO | interrupt-agent | Connected to room: playground-59tW-Okf2
2026-01-17 18:32:25,472 | INFO | interrupt-agent | Participant joined: identity-41QF
2026-01-17 18:32:25,674 | INFO | interrupt-agent | Listening for speech events
2026-01-17 18:32:30,319 | INFO | interrupt-agent | START_OF_SPEECH (agent silent)
2026-01-17 18:32:31,113 | INFO | interrupt-agent | START_OF_SPEECH (agent silent)
2026-01-17 18:32:32,759 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Give me'
2026-01-17 18:32:32,760 | INFO | interrupt-agent | Normal turn (agent silent)
2026-01-17 18:32:32,760 | INFO | interrupt-agent | Agent speaking: 'You said Give me'
2026-01-17 18:32:33,222 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:32:35,055 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:32:35,376 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'I know.'
2026-01-17 18:32:35,376 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-17 18:32:39,542 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:32:40,901 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:32:44,091 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:32:46,927 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:32:49,478 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Stop.'
2026-01-17 18:32:49,479 | INFO | interrupt-agent | 🛑 INTERRUPT detected — stopping agent
2026-01-17 18:32:49,479 | INFO | interrupt-agent | Agent speaking: 'Okay, stopping.'
2026-01-17 18:32:51,388 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:32:51,885 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:32:52,400 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:32:57,032 | INFO | interrupt-agent | FINAL_TRANSCRIPT: 'Stop. Okay. Okay. Okay. Okay. Okay. Okay.'
2026-01-17 18:32:57,033 | INFO | interrupt-agent | Backchannel ignored (agent continues)
2026-01-17 18:33:00,906 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:33:01,204 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:33:02,853 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:33:03,931 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:33:07,838 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:33:09,881 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
2026-01-17 18:33:14,569 | INFO | interrupt-agent | START_OF_SPEECH ignored (agent speaking)
